paper_item,role,bundle_source,status,intended_public_location
Table_I_Figure_4,30^4_action_maps,source_bundle/two_link/action_map/,copied_small_primary_maps,GitHub
Figure_5,candidate_scripts_and_assets,source_bundle/two_link/legacy_figures/,ambiguous_requires_manifest,GitHub_and_DOI
two_link_direct_lookup,50^4_direct_action_lookup,source_bundle/two_link/direct_lookup/working_save-ATC-50,not_copied_50MB,DOI_archive
two_link_offline_routing,initial_state_policy_routing,source_bundle/two_link/offline_routing/working_save_passive-10-30,copied,GitHub_and_DOI
Table_II,weight_0.02_tree,source_bundle/two_link/energy_comparison/action_weight=0.02,requires_curated_archive,DOI_archive
Table_II,weight_0.04_tree,source_bundle/two_link/energy_comparison/action_weight=0.04,requires_curated_archive,DOI_archive
Table_II,weight_0.06_tree,source_bundle/two_link/energy_comparison/action_weight=0.06,requires_curated_archive,DOI_archive
Tables_IV_V,12_case_tree,paper2_case_bundle/,entrypoints_and_audit_outputs_copied_full_dependencies_required,GitHub_and_DOI
Tables_IV_V_TVLQR,12_frozen_sources_and_4_checkpoints,src/paper2/entrypoints/;models/paper2/tvlqr/,seed0_12_of_12_reproduced,GitHub
Tables_VII_XI,manuscript_primary_v22_3_v9_raw_csv,source_bundle/four_link/legacy_manuscript/,all_19_files_copied,GitHub_and_DOI
Table_XII,training_logs,source_bundle/four_link/training_logs/,five_csv_logs_copied,GitHub_and_DOI
